Time,EacToday(kWh),INVTemp(℃),AMTemp1(℃),BTTemp(℃),OUTTemp(℃),AMTemp2(℃),next_after
2025-03-01 07:02:01,0.0,27.6,27.1,34.0,0,23.9,301.0
2025-03-01 09:03:33,24.1,59.5,42.0,59.7,0,33.9,303.0
2025-03-01 11:03:40,125.4,67.8,47.6,56.1,0,45.9,302.5
2025-03-01 13:03:46,275.9,79.1,56.9,64.8,0,54.5,297.5
2025-03-01 15:03:52,418.6,69.8,56.1,59.6,0,54.1,302.0
2025-03-02 07:05:13,0.0,26.9,27.4,33.6,0,23.1,304.5
2025-03-02 09:02:22,26.9,50.1,42.1,46.7,0,33.8,296.0
2025-03-02 11:02:29,132.9,69.3,49.6,58.0,0,47.9,302.0
2025-03-02 13:02:35,281.4,78.6,59.4,64.5,0,57.0,294.5
2025-03-02 15:02:42,426.9,72.2,58.1,61.0,0,56.0,297.5
2025-03-03 07:04:33,0.0,27.7,27.9,34.3,0,23.5,294.0
2025-03-03 09:03:29,37.4,55.0,47.6,54.7,0,39.6,301.0
2025-03-03 11:03:35,147.2,77.6,54.9,65.1,0,53.4,298.0
2025-03-03 13:03:42,293.6,86.0,64.4,70.6,0,62.7,299.5
2025-03-03 15:03:48,428.3,72.5,61.9,63.4,0,60.0,300.0
2025-03-30 07:09:09,0.8,34.5,33.4,41.1,0,25.3,297.5
2025-03-30 09:04:15,39.3,60.7,46.1,56.9,0,38.3,299.5
2025-03-30 11:04:21,154.1,78.5,55.0,65.0,0,53.4,295.0
2025-03-30 13:04:28,304.4,85.9,64.0,71.6,0,62.1,298.0
2025-03-30 15:04:34,441.3,72.9,62.2,63.7,0,60.4,299.5
2025-03-31 07:08:37,0.8,36.3,34.8,42.9,0,26.5,302.0
2025-03-31 09:03:29,37.4,55.0,47.6,54.7,0,39.6,301.0
2025-03-31 11:03:35,147.2,77.6,54.9,65.1,0,53.4,298.0
2025-03-31 13:03:42,293.6,86.0,64.4,70.6,0,62.7,299.5
2025-03-31 15:03:48,428.3,72.5,61.9,63.4,0,60.0,300.0
