Time,EacToday(kWh),EacTotal(kWh),Ppv(W),EpvToday(kWh),EpvTotal(kWh),TimeTotal(S),IacR(A),IacS(A),IacT(A),PacR(VA),PacS(VA),PacT(VA),VacR(V),VacS(V),VacT(V),Pac(W),INVTemp(℃),AMTemp1(℃),BTTemp(℃),OUTTemp(℃),AMTemp2(℃),ReactPower(Var),ReactPowerMax(Var),ReactPower_Total(kWh),Date
2025-03-01 06:52:01,0.0,323720.4,405.7,0.0,632154.1,33110887.5,0.0,0.0,0.0,0.0,0.0,0.0,245.1,245.6,245.3,0.0,25.3,23.9,32.3,0,23.2,0.0,38750,1228.8,2025-03-01
2025-03-01 06:57:01,0.0,323720.4,106.4,0.0,632154.1,33110986.0,0.5,0.6,0.6,122.3,146.9,146.7,244.6,244.9,244.6,104.9,26.5,25.4,33.1,0,23.5,1533.5,38750,1228.8,2025-03-01
2025-03-01 07:02:01,0.0,323720.4,106.8,0.0,632154.1,33111287.0,0.7,0.7,0.6,171.2,171.5,146.8,244.6,245.1,244.8,105.2,27.6,27.1,34.0,0,23.9,1476.3,38750,1228.9,2025-03-01
2025-03-01 07:07:01,0.0,323720.4,418.7,0.0,632154.1,33111584.5,0.8,0.8,0.8,195.2,195.6,195.2,244.1,244.5,244.1,412.5,28.8,28.6,35.2,0,24.0,1471.0,38750,1229.0,2025-03-01
2025-03-01 07:12:01,0.0,323720.4,752.1,0.0,632154.1,33111887.0,1.4,1.6,1.7,340.3,389.7,413.2,243.1,243.6,243.1,740.9,29.8,30.0,36.0,0,24.2,1329.8,38750,1229.2,2025-03-01
2025-03-02 06:50:12,0.0,324242.7,405.0,0.0,633173.8,33154419.5,0.0,0.0,0.0,0.0,0.0,0.0,250.1,250.4,249.4,0.0,23.8,23.0,31.1,0,22.4,0.0,38750,1230.2,2025-03-02
2025-03-02 06:55:13,0.0,324242.7,99.6,0.0,633173.8,33154492.5,0.5,0.5,0.5,124.5,124.7,124.6,249.1,249.5,249.2,98.2,24.9,24.3,32.1,0,22.6,1560.5,38750,1230.2,2025-03-02
2025-03-02 07:00:13,0.0,324242.7,154.6,0.0,633173.8,33154792.0,1.4,1.3,1.6,346.9,323.1,397.1,247.8,248.6,248.2,152.3,25.9,26.0,32.5,0,22.9,1515.2,38750,1230.3,2025-03-02
2025-03-02 07:05:13,0.0,324242.7,429.3,0.0,633173.8,33155096.5,0.7,0.7,0.7,173.3,173.4,173.2,247.7,247.8,247.5,422.9,26.9,27.4,33.6,0,23.1,1471.8,38750,1230.4,2025-03-02
2025-03-02 07:10:13,0.0,324242.7,820.3,0.0,633173.8,33155393.5,1.1,1.1,1.2,271.7,272.5,296.6,247.0,247.8,247.2,808.0,27.8,28.7,34.6,0,23.2,1333.7,38750,1230.6,2025-03-02
2025-03-03 06:49:32,0.0,324779.3,404.5,0.0,634221.7,33198028.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,247.4,246.8,0.0,24.3,23.3,31.5,0,22.7,0.0,38750,1231.6,2025-03-03
2025-03-03 06:54:32,0.0,324779.3,77.0,0.0,634221.7,33198108.0,0.5,0.4,0.5,123.2,98.8,123.4,246.4,247.2,246.8,75.9,25.5,24.7,32.5,0,23.0,1562.6,38750,1231.6,2025-03-03
2025-03-03 06:59:32,0.0,324779.3,103.6,0.0,634221.7,33198414.5,0.5,0.8,0.7,122.9,197.0,171.9,245.9,246.3,245.6,102.1,26.6,26.4,33.2,0,23.3,1501.0,38750,1231.7,2025-03-03
2025-03-03 07:04:33,0.0,324779.3,379.2,0.0,634221.7,33198708.5,0.6,0.6,0.6,147.0,147.4,147.0,245.0,245.7,245.1,373.6,27.7,27.9,34.3,0,23.5,1462.0,38750,1231.8,2025-03-03
2025-03-03 07:09:33,0.0,324779.3,530.1,0.0,634221.7,33199010.0,0.8,0.8,0.9,195.8,196.4,220.6,244.8,245.6,245.2,522.2,28.5,29.3,35.1,0,23.7,1444.4,38750,1232.0,2025-03-03
2025-03-04 06:48:21,0.0,325287.2,280.0,0.0,635214.5,33241538.0,0.0,0.0,0.0,0.0,0.0,0.0,245.9,246.7,245.9,0.0,23.9,23.1,31.2,0,22.6,0.0,38750,1233.0,2025-03-04
2025-03-04 06:53:21,0.0,325287.2,69.7,0.0,635214.5,33241576.0,0.5,0.5,0.6,123.0,123.2,147.6,246.0,246.5,246.0,68.7,24.8,24.5,32.0,0,22.9,1556.7,38750,1233.0,2025-03-04
2025-03-04 06:58:22,0.0,325287.2,205.0,0.0,635214.5,33241874.5,0.7,0.8,0.8,172.2,197.2,196.8,246.1,246.5,246.1,202.0,25.9,26.1,32.9,0,23.2,1504.1,38750,1233.1,2025-03-04
2025-03-04 07:03:22,0.0,325287.2,460.8,0.0,635214.5,33242177.0,0.8,0.8,0.9,197.4,197.4,222.0,246.8,246.8,246.7,453.9,26.9,27.6,33.8,0,23.3,1452.6,38750,1233.2,2025-03-04
2025-03-04 07:08:22,0.0,325287.2,863.3,0.0,635214.5,33242473.5,1.5,1.4,1.4,370.0,345.2,344.8,246.7,246.6,246.3,850.4,27.9,28.9,34.5,0,23.5,1293.7,38750,1233.3,2025-03-04
2025-03-05 06:45:32,0.0,325838.7,285.3,0.0,636292.7,33285723.0,0.0,0.0,0.0,0.0,0.0,0.0,247.5,248.3,247.1,0.0,20.2,19.5,27.8,0,18.9,0.0,38750,1234.4,2025-03-05
2025-03-05 06:50:32,0.0,325838.7,93.9,0.0,636292.7,33285935.5,0.7,0.7,0.8,173.3,173.3,197.7,247.6,247.7,247.2,92.5,21.6,21.3,29.1,0,19.3,1503.3,38750,1234.4,2025-03-05
2025-03-05 06:55:32,0.0,325838.7,214.0,0.0,636292.7,33286239.5,0.7,0.7,0.8,173.4,173.9,198.2,247.8,248.5,247.8,210.8,22.6,22.8,30.0,0,19.6,1477.4,38750,1234.6,2025-03-05
2025-03-05 07:00:33,0.0,325838.7,516.4,0.0,636292.7,33286535.5,0.9,0.8,0.9,223.3,198.8,223.2,248.2,248.6,248.0,508.7,23.5,24.1,31.2,0,19.7,1455.3,38750,1234.7,2025-03-05
2025-03-05 07:05:33,0.1,325838.8,921.8,0.0,636292.7,33286837.0,1.5,1.3,1.3,371.4,322.7,322.1,247.6,248.3,247.8,908.0,24.4,25.4,32.0,0,19.8,1252.7,38750,1234.8,2025-03-05
2025-03-06 06:46:04,0.0,326430.6,289.3,0.0,637451.3,33330004.0,0.0,0.0,0.0,0.0,0.0,0.0,246.9,247.3,246.1,0.0,20.7,18.7,28.3,0,17.6,0.0,38750,1235.8,2025-03-06
2025-03-06 06:51:04,0.0,326430.6,87.1,0.0,637451.3,33330133.5,0.7,0.7,0.9,172.5,172.9,221.6,246.5,247.1,246.3,85.8,21.9,20.4,29.5,0,18.0,1560.8,38750,1235.8,2025-03-06
2025-03-06 06:56:05,0.0,326430.6,206.4,0.0,637451.3,33330439.0,0.8,0.8,0.8,197.3,197.6,197.0,246.7,247.1,246.3,203.4,22.9,22.1,30.4,0,18.4,1463.0,38750,1235.9,2025-03-06
2025-03-06 07:01:06,0.0,326430.6,481.7,0.0,637451.3,33330736.5,0.9,0.8,0.9,222.1,197.9,221.9,246.8,247.4,246.6,474.5,23.9,23.5,31.5,0,18.6,1451.0,38750,1236.1,2025-03-06
2025-03-06 07:06:06,0.0,326430.6,852.1,0.0,637451.3,33331037.0,1.1,1.1,1.2,270.6,270.8,294.3,246.0,246.2,245.3,839.4,24.9,24.8,32.4,0,18.9,1286.8,38750,1236.2,2025-03-06
2025-03-07 06:45:14,0.0,326983.9,270.7,0.0,638534.1,33373832.0,0.0,0.0,0.0,0.0,0.0,0.0,246.3,247.2,246.0,0.0,22.8,20.8,30.4,0,19.5,0.0,38750,1237.1,2025-03-07
2025-03-07 06:50:14,0.0,326983.9,96.9,0.0,638534.1,33373933.5,0.6,0.5,0.6,147.6,123.1,147.3,246.0,246.3,245.6,95.5,24.0,22.2,31.4,0,19.9,1553.5,38750,1237.1,2025-03-07
2025-03-07 06:55:14,0.0,326983.9,167.1,0.0,638534.1,33374233.5,0.6,0.6,0.6,149.2,149.6,149.1,248.7,249.4,248.5,164.6,25.1,23.8,32.0,0,20.2,1500.3,38750,1237.2,2025-03-07
2025-03-07 07:00:15,0.0,326983.9,550.8,0.0,638534.1,33374533.0,1.1,1.0,1.1,273.1,248.8,272.6,248.3,248.8,247.9,542.6,26.1,25.3,33.3,0,20.5,1398.8,38750,1237.3,2025-03-07
2025-03-07 07:05:15,0.1,326984.0,933.7,0.0,638534.1,33374831.5,1.5,1.5,1.6,371.4,372.4,395.5,247.6,248.3,247.2,919.7,27.3,26.6,34.3,0,20.7,1253.7,38750,1237.5,2025-03-07
2025-03-08 07:03:45,0.0,327512.7,747.3,0.0,639567.9,33419043.0,1.2,1.1,1.2,297.2,273.3,297.1,247.7,248.5,247.6,736.1,29.7,29.5,35.9,0,24.1,1344.0,38750,1238.8,2025-03-08
